,accuracy,loss,val_accuracy,val_loss
0,0.9369757771492004,0.15796825289726257,0.9194630980491638,0.1846751719713211
1,0.9508746862411499,0.13396871089935303,0.9376797676086426,0.1566043496131897
2,0.9499161243438721,0.12217269092798233,0.9338446855545044,0.1601446270942688
3,0.9489575624465942,0.13150401413440704,0.9434323906898499,0.13769671320915222
4,0.9535106420516968,0.10960029810667038,0.9386385679244995,0.1362587809562683
5,0.9508746862411499,0.13180428743362427,0.951102614402771,0.13401436805725098
6,0.9549484848976135,0.11686072498559952,0.9348034262657166,0.16491985321044922
7,0.9465612173080444,0.13484235107898712,0.9338446855545044,0.15522481501102448
8,0.951833188533783,0.12792964279651642,0.9405561089515686,0.14286090433597565
9,0.9527917504310608,0.11783839017152786,0.9338446855545044,0.16392476856708527
