epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1892.21,1.43411,0.67343,0.97621,0.84781,0.755,0.83433,0.49213,1.45879,0.68857,0.98087,0.000870577,0.000870577,0.000870577
43,1937.18,1.43154,0.6681,0.97796,0.85241,0.75721,0.83617,0.49656,1.45217,0.68056,0.97931,0.000712282,0.000712282,0.000712282
44,1981.27,1.42875,0.66718,0.97624,0.85074,0.75633,0.83686,0.49793,1.44644,0.67729,0.97775,0.000571106,0.000571106,0.000571106
45,2024.93,1.42732,0.6649,0.97416,0.85494,0.75889,0.83774,0.49829,1.44778,0.67351,0.97889,0.000447606,0.000447606,0.000447606
46,2069.41,1.42298,0.66336,0.97571,0.85556,0.75927,0.83716,0.50169,1.44069,0.66891,0.97714,0.00034227,0.00034227,0.00034227
47,2113.87,1.42522,0.66362,0.97376,0.85735,0.76259,0.83908,0.5034,1.43842,0.66674,0.97659,0.000255513,0.000255513,0.000255513
48,2158.22,1.4199,0.66105,0.97457,0.85747,0.76074,0.83745,0.5028,1.43936,0.66598,0.97794,0.000187678,0.000187678,0.000187678
49,2202.92,1.41723,0.65919,0.97588,0.85598,0.76237,0.83784,0.50234,1.43948,0.66466,0.97798,0.000139032,0.000139032,0.000139032
50,2247.14,1.42389,0.66288,0.97212,0.85534,0.76112,0.83706,0.50296,1.43544,0.66212,0.97743,0.000109768,0.000109768,0.000109768
1,51.2063,2.83837,3.91112,2.02606,0.01671,0.17857,0.013,0.00558,2.13949,4.79402,2.10265,0.0511907,0.000996109,0.000996109
2,94.3976,2.45309,3.33276,1.85141,0.04968,0.21259,0.02636,0.01192,2.16975,8.0916,1.89034,0.00218871,0.00199416,0.00199416
3,136.856,2.29311,3.08022,1.76283,0.01362,0.7398,0.07408,0.0266,2.33929,3.42157,2.04425,0.00199219,0.00199219,0.00199219
4,178.634,2.15688,2.83305,1.70154,0.13201,0.2466,0.09938,0.03028,2.17224,2.88803,2.04832,0.00198246,0.00198246,0.00198246
5,219.157,2.07032,2.63588,1.6349,0.1425,0.2534,0.08991,0.02505,2.36782,2.97899,2.147,0.0019689,0.0019689,0.0019689
6,262.187,1.94856,2.42731,1.58394,0.20696,0.27721,0.14227,0.05582,1.92924,2.537,1.85119,0.00195155,0.00195155,0.00195155
7,308.016,1.87462,2.25027,1.54548,0.24823,0.33163,0.18778,0.07221,1.86557,2.42417,1.80635,0.00193048,0.00193048,0.00193048
8,350.544,1.72605,2.0357,1.47737,0.28897,0.29762,0.20591,0.06895,2.00995,2.68244,1.9328,0.00190578,0.00190578,0.00190578
9,392.333,1.61571,1.8506,1.41835,0.30742,0.35884,0.23868,0.0853,1.94729,2.38585,1.85464,0.00187754,0.00187754,0.00187754
